SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy,PricePerBrick
26725,75192,1,Star Wars,Ultimate Collector Series,2017,Millennium Falcon,8,7541,649.99,799.99,899.99,799.99,https://images.brickset.com/sets/images/75192-1.jpg,7615,5325,0.086194139
27836,71043,1,Harry Potter,General,2018,Hogwarts Castle,28,6020,349.99,399.99,499.99,399.99,https://images.brickset.com/sets/images/71043-1.jpg,3110,3390,0.058137874
27618,10256,1,Creator Expert,Buildings,2017,Taj Mahal,,5923,299.99,369.99,449.99,329.99,https://images.brickset.com/sets/images/10256-1.jpg,2105,1770,0.05064832
24933,70620,1,The LEGO Ninjago Movie,,2017,NINJAGO City,19,4867,259.99,299.99,349.99,299.99,https://images.brickset.com/sets/images/70620-1.jpg,5900,3608,0.053418944
27828,10261,1,Creator Expert,Fairground,2018,Roller Coaster,11,4124,299.99,379.99,479.99,329.99,https://images.brickset.com/sets/images/10261-1.jpg,3495,4194,0.072742483
29035,42100,1,Technic,,2019,Liebherr R 9800,,4108,,,,,6,1234,,0
27893,42082,1,Technic,,2018,Rough Terrain Crane,,4057,229.99,299.99,349.99,229.99,https://images.brickset.com/sets/images/42082-1.jpg,2539,1540,0.056689672
26649,10255,1,Creator Expert,Modular Buildings,2017,Assembly Square,9,4002,179.99,279.99,339.99,239.99,https://images.brickset.com/sets/images/10255-1.jpg,10992,5796,0.044975012
27895,42083,1,Technic,,2018,Bugatti Chiron,,3599,329.99,349.99,399.99,369.99,https://images.brickset.com/sets/images/42083-1.jpg,3183,2332,0.091689358
27779,70657,1,The LEGO Ninjago Movie,,2018,NINJAGO City Docks,14,3553,199.99,229.99,269.99,229.99,https://images.brickset.com/sets/images/70657-1.jpg,3811,2415,0.056287644
27565,70922,1,The LEGO Batman Movie,,2017,The Joker Manor,10,3444,249.99,269.99,349.99,269.99,https://images.brickset.com/sets/images/70922-1.jpg,2393,2047,0.072587108
28588,70840,1,The Lego Movie 2: The Second Part,,2019,Welcome to Apocalypseburg!,13,3178,279.99,299.99,399.99,299.99,https://images.brickset.com/sets/images/70840-1.jpg,1637,2800,0.08810258
28593,75936,1,Jurassic World,Jurassic Park,2019,Jurassic Park: T. rex Rampage,,3120,219.99,249.99,299.99,249.99,https://images.brickset.com/sets/images/75936-1.jpg,472,1647,0.070509615
29383,21318,1,Ideas,,2019,Treehouse,,3036,179.99,199.99,269.99,199.99,https://images.brickset.com/sets/images/21318-1.jpg,516,2183,0.059285244
27049,21137,1,Minecraft,Minifig-scale,2017,The Mountain Cave,6,2863,259.99,249.99,299.99,249.99,https://images.brickset.com/sets/images/21137-1.jpg,556,913,0.090810339
27833,75222,1,Star Wars,Master Builder Series,2018,Betrayal at Cloud City,21,2812,299.99,349.99,399.99,349.99,https://images.brickset.com/sets/images/75222-1.jpg,1486,2792,0.106682077
27180,10257,1,Creator Expert,Fairground,2017,Carousel,7,2670,159.99,199.99,249.99,179.99,https://images.brickset.com/sets/images/10257-1.jpg,5239,3123,0.059921348
27532,42078,1,Technic,,2018,Mack Anthem,,2595,139.99,179.99,229.99,149.99,https://images.brickset.com/sets/images/42078-1.jpg,3788,1725,0.05394605
29358,42110,1,Technic,,2019,Land Rover Defender,,2573,159.99,,,,7,922,,0.062180334
28559,10264,1,Creator Expert,Modular Buildings,2019,Corner Garage,6,2569,159.99,199.99,269.99,179.99,https://images.brickset.com/sets/images/10264-1.jpg,3238,4274,0.062277151
